Time,Strain,Stress,Calc Stress,Error
0.246893,0.246893,0.931231,1.13929,0.0499161
0.248914,0.248914,0.935885,1.14657,0.0506803
0.250903,0.250903,0.940638,1.15373,0.0513182
0.252888,0.252888,0.945804,1.16084,0.0516925
0.2549,0.2549,0.950459,1.16803,0.0524023
0.256899,0.256899,0.955286,1.17516,0.0529755
0.258898,0.258898,0.960112,1.18226,0.0535367
0.260912,0.260912,0.965463,1.1894,0.0537995
0.262954,0.262954,0.970237,1.19661,0.054439
0.264953,0.264953,0.975346,1.20366,0.0547944
0.266936,0.266936,0.980362,1.21062,0.0551658
0.268952,0.268952,0.985691,1.21769,0.0553957
0.27095,0.27095,0.991128,1.22467,0.0555206
0.272937,0.272937,0.996295,1.23159,0.0557751
0.274968,0.274968,1.00174,1.23864,0.0559294
0.276982,0.276982,1.00677,1.24562,0.0562868
0.278963,0.278963,1.01271,1.25246,0.0560466
0.280995,0.280995,1.01844,1.25946,0.0560083
0.283001,0.283001,1.02416,1.26636,0.0559214
0.285,0.285,1.02967,1.2732,0.0559396
0.287025,0.287025,1.03558,1.28012,0.0557634
0.289001,0.289001,1.04169,1.28686,0.0553898
0.29104,0.29104,1.04803,1.29379,0.0549863
0.293021,0.293021,1.05385,1.3005,0.0547799
0.295011,0.295011,1.06004,1.30723,0.0543743
0.297051,0.297051,1.06622,1.31411,0.0540496
0.299073,0.299073,1.07292,1.3209,0.0534225
