Time,Strain,Stress,Calc Stress,Error
29.2426,0.292426,0.618947,1.01867,0.417071
29.4997,0.294997,0.623049,1.02533,0.416878
29.7463,0.297463,0.626947,1.03169,0.416774
29.9347,0.299347,0.630423,1.03654,0.414989
30.1582,0.301582,0.634677,1.04227,0.412435
30.3419,0.303419,0.638789,1.04697,0.408318
30.603,0.30603,0.64337,1.05363,0.406637
30.9515,0.309515,0.647728,1.06249,0.410024
31.226,0.31226,0.651754,1.06943,0.410694
31.5079,0.315079,0.655989,1.07654,0.411
31.7567,0.317567,0.659883,1.08279,0.410727
32.0629,0.320629,0.664359,1.09045,0.411342
32.274,0.32274,0.66951,1.09572,0.405255
32.4179,0.324179,0.673716,1.0993,0.399038
32.6941,0.326941,0.677685,1.10615,0.399744
32.9363,0.329363,0.682565,1.11214,0.396095
33.2358,0.332358,0.686961,1.11953,0.396499
33.4752,0.334752,0.691102,1.12541,0.39492
33.6951,0.336951,0.696176,1.1308,0.389745
33.8965,0.338965,0.700928,1.13572,0.384776
34.1972,0.341972,0.705964,1.14304,0.383308
34.477,0.34477,0.710673,1.14983,0.381856
34.7376,0.347376,0.715212,1.15613,0.380059
35.0001,0.350001,0.720224,1.16246,0.37703
35.2969,0.352969,0.725593,1.16959,0.374437
35.5569,0.355569,0.730273,1.17582,0.372232
35.7178,0.357178,0.735737,1.17966,0.364061
36.0436,0.360436,0.740925,1.18742,0.363151
36.2474,0.362474,0.746298,1.19226,0.357084
36.4819,0.364819,0.75151,1.19781,0.352687
36.7585,0.367585,0.75711,1.20434,0.348939
36.9925,0.369925,0.762891,1.20985,0.343251
37.3157,0.373157,0.768388,1.21743,0.341523
37.5011,0.375011,0.774486,1.22177,0.333534
37.7257,0.377257,0.780618,1.22701,0.327009
37.9473,0.379473,0.786812,1.23217,0.320389
38.1914,0.381914,0.793038,1.23784,0.314586
38.5516,0.385516,0.799507,1.24617,0.312117
38.7319,0.387319,0.806151,1.25033,0.303586
39.0094,0.390094,0.812088,1.25671,0.299766
39.147,0.39147,0.819116,1.25987,0.289538
39.4416,0.394416,0.826012,1.26662,0.284529
39.6243,0.396243,0.833244,1.27079,0.275742
39.8567,0.398567,0.840258,1.27609,0.269031
40.1051,0.401051,0.847599,1.28173,0.262338
40.3878,0.403878,0.854798,1.28814,0.256996
40.5374,0.405374,0.862888,1.29152,0.246749
40.7872,0.407872,0.870884,1.29715,0.239577
41.0505,0.410505,0.87943,1.30307,0.232061
41.3261,0.413261,0.887401,1.30926,0.225989
41.4491,0.414491,0.896009,1.31201,0.215557
41.8175,0.418175,0.904242,1.32023,0.211641
42.0462,0.420462,0.913252,1.32532,0.203593
42.1719,0.421719,0.922068,1.32811,0.193922
42.387,0.42387,0.930391,1.33288,0.187148
